.й	sg,nom
.йёс|ыдлань|гес	pl,app,2sg,comp
.йёс|ыдлань|гем	pl,app,2sg,comp
.йёс|ыдлань	pl,app,2sg
.йёс|дэ|гес	pl,acc,2sg,comp
.йёс|дэ|гем	pl,acc,2sg,comp
.йёс|дэ	pl,acc,2sg
.йёс|тэ|гес	pl,acc,2sg,comp
.йёс|тэ|гем	pl,acc,2sg,comp
.йёс|тэ	pl,acc,2sg
.йёс|эныд|гес	pl,ins,2sg,comp
.йёс|эныд|гем	pl,ins,2sg,comp
.йёс|эныд	pl,ins,2sg
.йёс|ыныд|гес	pl,ins,2sg,comp
.йёс|ыныд|гем	pl,ins,2sg,comp
.йёс|ыныд	pl,ins,2sg
.йёс|ад|гес	pl,loc,2sg,comp
.йёс|ад|гем	pl,loc,2sg,comp
.йёс|ад	pl,loc,2sg
.йёс|ад|гес	pl,ill,2sg,comp
.йёс|ад|гем	pl,ill,2sg,comp
.йёс|ад	pl,ill,2sg
.йёс|ысьтыд|гес	pl,el,2sg,comp
.йёс|ысьтыд|гем	pl,el,2sg,comp
.йёс|ысьтыд	pl,el,2sg
.йёс|ысеныд|гес	pl,egr,2sg,comp
.йёс|ысеныд|гем	pl,egr,2sg,comp
.йёс|ысеныд	pl,egr,2sg
.йёс|озяд|гес	pl,term,2sg,comp
.йёс|озяд|гем	pl,term,2sg,comp
.йёс|озяд	pl,term,2sg
.йёс|этӥд|гес	pl,prol,2sg,comp
.йёс|этӥд|гем	pl,prol,2sg,comp
.йёс|этӥд	pl,prol,2sg
.йёс|ытӥд|гес	pl,prol,2sg,comp
.йёс|ытӥд|гем	pl,prol,2sg,comp
.йёс|ытӥд	pl,prol,2sg
.йёс|тӥд|гес	pl,prol,2sg,comp
.йёс|тӥд|гем	pl,prol,2sg,comp
.йёс|тӥд	pl,prol,2sg
.йёс|эз|гес	pl,nom,3sg,comp
.йёс|эз|гем	pl,nom,3sg,comp
.йёс|эз	pl,nom,3sg
.йёс|ыз|гес	pl,nom,3sg,comp
.йёс|ыз|гем	pl,nom,3sg,comp
.йёс|ыз	pl,nom,3sg
